"0","16777215","-","-","-","-","-","-","-","-"
"16777216","16777471","US","United States","California","Los Angeles","34.05223","-118.24368","90001","-07:00","1","213/310/424/323","86"
"16777472","16778239","CN","China","Fujian","Fuzhou","26.06139","119.30611","350004","+08:00","86","0591","11"
"16778240","16779263","AU","Australia","Victoria","Melbourne","-37.814","144.96332","8010","+10:00","61","03","13"
"16779264","16781311","CN","China","Guangdong","Guangzhou","23.11667","113.25","510140","+08:00","86","020","11"
"16781312","16785407","JP","Japan","Tokyo","Tokyo","35.689506","139.6917","160-0021","+09:00","81","042","36"
"16785408","16793599","CN","China","Guangdong","Guangzhou","23.11667","113.25","510140","+08:00","86","020","11"
"16793600","16797695","JP","Japan","Hiroshima","Hiroshima","34.38528","132.45528","732-0057","+09:00","81","082","13"
"16797696","16797951","JP","Japan","Okayama","Okayama","34.65","133.917","700-0824","+09:00","81","086","2"
"16797952","16798207","JP","Japan","Tottori","Kurayoshi","35.433","133.817","682-0021","+09:00","81","085","22"
"16798208","16798463","JP","Japan","Shimane","Matsue","35.467","133.05","690-0015","+09:00","81","085","1"
"16798464","16798719","JP","Japan","Okayama","Okayama","34.65","133.917","700-0824","+09:00","81","086","2"
"16798720","16798975","JP","Japan","Tottori","Tottori","35.5","134.233","680-0805","+09:00","81","085","7"
"16798976","16799231","JP","Japan","Tottori","Kurayoshi","35.433","133.817","682-0021","+09:00","81","085","22"
"16799232","16799999","JP","Japan","Okayama","Okayama","34.65","133.917","700-0824","+09:00","81","086","2"
"16800000","16800255","JP","Japan","Tottori","Kurayoshi","35.433","133.817","682-0021","+09:00","81","085","22"
"16800256","16800511","JP","Japan","Okayama","Okayama","34.65","133.917","700-0824","+09:00","81","086","2"
"16800512","16800767","JP","Japan","Hiroshima","Hiroshima","34.38528","132.45528","732-0057","+09:00","81","082","13"
"16800768","16801023","JP","Japan","Shimane","Izumo","35.367","132.767","693-0044","+09:00","81","085","8"
"16801024","16801279","JP","Japan","Okayama","Okayama","34.65","133.917","700-0824","+09:00","81","086","2"
"16801280","16801535","JP","Japan","Tottori","Yonago","35.433","133.333","683-0846","+09:00","81","085","5"
"16801536","16802047","JP","Japan","Okayama","Okayama","34.65","133.917","700-0824","+09:00","81","086","2"
"16802048","16802303","JP","Japan","Shimane","Matsue","35.467","133.05","690-0015","+09:00","81","085","1"
"16802304","16802559","JP","Japan","Okayama","Okayama","34.65","133.917","700-0824","+09:00","81","086","2"
"16802560","16802815","JP","Japan","Tottori","Tottori","35.5","134.233","680-0805","+09:00","81","085","7"
"16802816","16803071","JP","Japan","Shimane","Izumo","35.367","132.767","693-0044","+09:00","81","085","8"
"16803072","16803327","JP","Japan","Okayama","Okayama","34.65","133.917","700-0824","+09:00","81","086","2"
"16803328","16803583","JP","Japan","Yamaguchi","Yamaguchi","34.183","131.467","754-0893","+09:00","81","083","129"
