"4294967296","281470681743359","-","-","-","-","-","-","-","-"
"281470681743360","281470698520575","-","-","-","-","-","-","-","-"
"281470698520576","281470698520831","US","United States","California","Los Angeles","34.05223","-118.24368","90001","-07:00","1","213/310/424/323","86"
"281470698520832","281470698521599","CN","China","Fujian","Fuzhou","26.06139","119.30611","350004","+08:00","86","0591","11"
"281470698521600","281470698522623","AU","Australia","Victoria","Melbourne","-37.814","144.96332","8010","+10:00","61","03","13"
"281470698522624","281470698524671","CN","China","Guangdong","Guangzhou","23.11667","113.25","510140","+08:00","86","020","11"
"281470698524672","281470698528767","JP","Japan","Tokyo","Tokyo","35.689506","139.6917","160-0021","+09:00","81","042","36"
"281470698528768","281470698536959","CN","China","Guangdong","Guangzhou","23.11667","113.25","510140","+08:00","86","020","11"
"281470698536960","281470698541055","JP","Japan","Hiroshima","Hiroshima","34.38528","132.45528","732-0057","+09:00","81","082","13"
"281470698541056","281470698541311","JP","Japan","Okayama","Okayama","34.65","133.917","700-0824","+09:00","81","086","2"
"281470698541312","281470698541567","JP","Japan","Tottori","Kurayoshi","35.433","133.817","682-0021","+09:00","81","085","22"
"281470698541568","281470698541823","JP","Japan","Shimane","Matsue","35.467","133.05","690-0015","+09:00","81","085","1"
"281470698541824","281470698542079","JP","Japan","Okayama","Okayama","34.65","133.917","700-0824","+09:00","81","086","2"
"281470698542080","281470698542335","JP","Japan","Tottori","Tottori","35.5","134.233","680-0805","+09:00","81","085","7"
"281470698542336","281470698542591","JP","Japan","Tottori","Kurayoshi","35.433","133.817","682-0021","+09:00","81","085","22"
"281470698542592","281470698543359","JP","Japan","Okayama","Okayama","34.65","133.917","700-0824","+09:00","81","086","2"
"281470698543360","281470698543615","JP","Japan","Tottori","Kurayoshi","35.433","133.817","682-0021","+09:00","81","085","22"
"281470698543616","281470698543871","JP","Japan","Okayama","Okayama","34.65","133.917","700-0824","+09:00","81","086","2"
"281470698543872","281470698544127","JP","Japan","Hiroshima","Hiroshima","34.38528","132.45528","732-0057","+09:00","81","082","13"
"281470698544128","281470698544383","JP","Japan","Shimane","Izumo","35.367","132.767","693-0044","+09:00","81","085","8"
"281470698544384","281470698544639","JP","Japan","Okayama","Okayama","34.65","133.917","700-0824","+09:00","81","086","2"
"281470698544640","281470698544895","JP","Japan","Tottori","Yonago","35.433","133.333","683-0846","+09:00","81","085","5"
"281470698544896","281470698545407","JP","Japan","Okayama","Okayama","34.65","133.917","700-0824","+09:00","81","086","2"
"281470698545408","281470698545663","JP","Japan","Shimane","Matsue","35.467","133.05","690-0015","+09:00","81","085","1"
"281470698545664","281470698545919","JP","Japan","Okayama","Okayama","34.65","133.917","700-0824","+09:00","81","086","2"
"281470698545920","281470698546175","JP","Japan","Tottori","Tottori","35.5","134.233","680-0805","+09:00","81","085","7"
"281470698546176","281470698546431","JP","Japan","Shimane","Izumo","35.367","132.767","693-0044","+09:00","81","085","8"
"281470698546432","281470698546687","JP","Japan","Okayama","Okayama","34.65","133.917","700-0824","+09:00","81","086","2"
"281470698546688","281470698546943","JP","Japan","Yamaguchi","Yamaguchi","34.183","131.467","754-0893","+09:00","81","083","129"
"281470698546944","281470698547199","JP","Japan","Tottori","Yonago","35.433","133.333","683-0846","+09:00","81","085","5"
"281470698547200","281470698547455","JP","Japan","Okayama","Okayama","34.65","133.917","700-0824","+09:00","81","086","2"
"281470698547456","281470698547711","JP","Japan","Hiroshima","Hiroshima","34.38528","132.45528","732-0057","+09:00","81","082","13"
"281470698547712","281470698547967","JP","Japan","Tottori","Yonago","35.433","133.333","683-0846","+09:00","81","085","5"
"281470698547968","281470698548223","JP","Japan","Shimane","Izumo","35.367","132.767","693-0044","+09:00","81","085","8"
